NOM_ENT,NOM_MUN,NOM_LOC,CVE_ENT,CVE_LOC,CVE_MUN,tot_value,no_sub,subsidy,rnpa,year
GUERRERO,ACAPULCO DE JUAREZ,10 DE ABRIL,12,120010377,12001,252000,35,bienpesca,BIENPESCA,2020
GUERRERO,ACAPULCO DE JUAREZ,10 DE ABRIL,12,120010377,12001,252000,35,bienpesca,BIENPESCA,2021
GUERRERO,ACAPULCO DE JUAREZ,10 DE ABRIL,12,120010377,12001,252000,35,bienpesca,BIENPESCA,2022
TAMAULIPAS,VALLE HERMOSO,12 DE OCTUBRE (BRECHA 126 ENTRE SUR 85 Y SUR 88),NA,NA,NA,7200,1,bienpesca,BIENPESCA,2020
TAMAULIPAS,VALLE HERMOSO,12 DE OCTUBRE (BRECHA 126 ENTRE SUR 85 Y SUR 88),NA,NA,NA,7200,1,bienpesca,BIENPESCA,2021
TAMAULIPAS,VALLE HERMOSO,12 DE OCTUBRE (BRECHA 126 ENTRE SUR 85 Y SUR 88),NA,NA,NA,7200,1,bienpesca,BIENPESCA,2022
SINALOA,GUASAVE,15 DE OCTUBRE,25,250110814,25011,7200,1,bienpesca,BIENPESCA,2020
SINALOA,GUASAVE,15 DE OCTUBRE,25,250110814,25011,7200,1,bienpesca,BIENPESCA,2021
SINALOA,GUASAVE,15 DE OCTUBRE,25,250110814,25011,7200,1,bienpesca,BIENPESCA,2022
SINALOA,GUASAVE,15 DE OCTUBRE,25,250110814,25011,1875,1,bienpesca,BIENPESCA,2023
SONORA,CABORCA,15 DE SEPTIEMBRE,26,260170397,26017,345600,48,bienpesca,BIENPESCA,2020
SONORA,CABORCA,15 DE SEPTIEMBRE,26,260170397,26017,345600,48,bienpesca,BIENPESCA,2021
SONORA,CABORCA,15 DE SEPTIEMBRE,26,260170397,26017,345600,48,bienpesca,BIENPESCA,2022
SONORA,HUATABAMPO,17 DE OCTUBRE,26,260330197,26033,14400,2,bienpesca,BIENPESCA,2020
SONORA,HUATABAMPO,17 DE OCTUBRE,26,260330197,26033,14400,2,bienpesca,BIENPESCA,2021
SONORA,HUATABAMPO,17 DE OCTUBRE,26,260330197,26033,14400,2,bienpesca,BIENPESCA,2022
SINALOA,ANGOSTURA,18 DE DICIEMBRE,25,250020126,25002,14400,2,bienpesca,BIENPESCA,2020
SINALOA,ANGOSTURA,18 DE DICIEMBRE,25,250020126,25002,14400,2,bienpesca,BIENPESCA,2021
SINALOA,ANGOSTURA,18 DE DICIEMBRE,25,250020126,25002,7200,1,bienpesca,BIENPESCA,2022
SINALOA,ANGOSTURA,18 DE DICIEMBRE,25,250020126,25002,1875,1,bienpesca,BIENPESCA,2023
SONORA,CAJEME,18 DE SEPTIEMBRE,26,260180810,26018,7200,1,bienpesca,BIENPESCA,2020
SONORA,CAJEME,18 DE SEPTIEMBRE,26,260180810,26018,7200,1,bienpesca,BIENPESCA,2021
SONORA,CAJEME,18 DE SEPTIEMBRE,26,260180810,26018,7200,1,bienpesca,BIENPESCA,2022
SONORA,HERMOSILLO,20 DE NOVIEMBRE,26,260300664,26030,7200,1,bienpesca,BIENPESCA,2020
SONORA,HERMOSILLO,20 DE NOVIEMBRE,26,260300664,26030,7200,1,bienpesca,BIENPESCA,2021
SONORA,HERMOSILLO,20 DE NOVIEMBRE,26,260300664,26030,7200,1,bienpesca,BIENPESCA,2022
OAXACA,SAN FRANCISCO IXHUATAN,20 DE NOVIEMBRE (EL MORRO),NA,NA,NA,381600,53,bienpesca,BIENPESCA,2020
OAXACA,SAN FRANCISCO IXHUATAN,20 DE NOVIEMBRE (EL MORRO),NA,NA,NA,381600,53,bienpesca,BIENPESCA,2021
OAXACA,SAN FRANCISCO IXHUATAN,20 DE NOVIEMBRE (EL MORRO),NA,NA,NA,345600,48,bienpesca,BIENPESCA,2022
SINALOA,GUASAVE,22,NA,NA,NA,86400,12,bienpesca,BIENPESCA,2020
SINALOA,GUASAVE,22,NA,NA,NA,79200,11,bienpesca,BIENPESCA,2021
SINALOA,GUASAVE,22,NA,NA,NA,79200,11,bienpesca,BIENPESCA,2022
SINALOA,GUASAVE,22,NA,NA,NA,20625,11,bienpesca,BIENPESCA,2023
SINALOA,ELOTA,26 DE ENERO,25,250080102,25008,7200,1,bienpesca,BIENPESCA,2020
SINALOA,ELOTA,26 DE ENERO,25,250080102,25008,14400,2,bienpesca,BIENPESCA,2021
SINALOA,ELOTA,26 DE ENERO,25,250080102,25008,7200,1,bienpesca,BIENPESCA,2022
SINALOA,ELOTA,26 DE ENERO,25,250080102,25008,1875,1,bienpesca,BIENPESCA,2023
MORELOS,CUAUTLA,3 DE MAYO,17,170060047,17006,7200,1,bienpesca,BIENPESCA,2020
MORELOS,CUAUTLA,3 DE MAYO,17,170060047,17006,7200,1,bienpesca,BIENPESCA,2021
MORELOS,CUAUTLA,3 DE MAYO,17,170060047,17006,7200,1,bienpesca,BIENPESCA,2022
SONORA,CAJEME,31 DE OCTUBRE,26,260180397,26018,7200,1,bienpesca,BIENPESCA,2020
SONORA,CAJEME,31 DE OCTUBRE,26,260180397,26018,7200,1,bienpesca,BIENPESCA,2021
SONORA,CAJEME,31 DE OCTUBRE,26,260180397,26018,7200,1,bienpesca,BIENPESCA,2022
SONORA,GUAYMAS,5 DE JULIO,NA,NA,NA,21600,3,bienpesca,BIENPESCA,2020
SONORA,GUAYMAS,5 DE JULIO,NA,NA,NA,21600,3,bienpesca,BIENPESCA,2021
SONORA,GUAYMAS,5 DE JULIO,NA,NA,NA,14400,2,bienpesca,BIENPESCA,2022
SONORA,GUAYMAS,5 DE MAYO (EL RANCHITO),26,260290785,26029,7200,1,bienpesca,BIENPESCA,2020
SONORA,GUAYMAS,5 DE MAYO (EL RANCHITO),26,260290785,26029,7200,1,bienpesca,BIENPESCA,2021
SONORA,GUAYMAS,5 DE MAYO (EL RANCHITO),26,260290785,26029,7200,1,bienpesca,BIENPESCA,2022
SONORA,CABORCA,6 DE ABRIL (SECTOR DOS),26,260170337,26017,7200,1,bienpesca,BIENPESCA,2020
SONORA,CABORCA,6 DE ABRIL (SECTOR DOS),26,260170337,26017,7200,1,bienpesca,BIENPESCA,2021
SONORA,CABORCA,6 DE ABRIL (SECTOR DOS),26,260170337,26017,7200,1,bienpesca,BIENPESCA,2022
SONORA,HUATABAMPO,6 DE ENERO,26,260330439,26033,7200,1,bienpesca,BIENPESCA,2020
SONORA,HUATABAMPO,6 DE ENERO,26,260330439,26033,7200,1,bienpesca,BIENPESCA,2021
SONORA,HUATABAMPO,6 DE ENERO,26,260330439,26033,7200,1,bienpesca,BIENPESCA,2022
BAJA CALIFORNIA SUR,LOS CABOS,6 HERMANOS,NA,NA,NA,7200,1,bienpesca,BIENPESCA,2020
BAJA CALIFORNIA SUR,LOS CABOS,6 HERMANOS,NA,NA,NA,7200,1,bienpesca,BIENPESCA,2021
BAJA CALIFORNIA SUR,LOS CABOS,6 HERMANOS,NA,NA,NA,7200,1,bienpesca,BIENPESCA,2022
BAJA CALIFORNIA SUR,LA PAZ,A DONDE,03,030031739,03003,7200,1,bienpesca,BIENPESCA,2020
BAJA CALIFORNIA SUR,LA PAZ,A DONDE,03,030031739,03003,7200,1,bienpesca,BIENPESCA,2021
BAJA CALIFORNIA SUR,LA PAZ,A DONDE,03,030031739,03003,7200,1,bienpesca,BIENPESCA,2022
TAMAULIPAS,ABASOLO,ABASOLO,28,280010001,28001,21600,3,bienpesca,BIENPESCA,2020
TAMAULIPAS,ABASOLO,ABASOLO,28,280010001,28001,21600,3,bienpesca,BIENPESCA,2021
TAMAULIPAS,ABASOLO,ABASOLO,28,280010001,28001,21600,3,bienpesca,BIENPESCA,2022
VERACRUZ,OZULUAMA DE MASCARENAS,ABEL DEL ANGEL,NA,NA,NA,21600,3,bienpesca,BIENPESCA,2021
VERACRUZ,OZULUAMA DE MASCARENAS,ABEL DEL ANGEL,NA,NA,NA,21600,3,bienpesca,BIENPESCA,2022
SONORA,BENITO JUAREZ,ABEL PLACENCIA,NA,NA,NA,7200,1,bienpesca,BIENPESCA,2020
SONORA,BENITO JUAREZ,ABEL PLACENCIA,NA,NA,NA,7200,1,bienpesca,BIENPESCA,2021
SONORA,BENITO JUAREZ,ABEL PLACENCIA,NA,NA,NA,7200,1,bienpesca,BIENPESCA,2022
CAMPECHE,CARMEN,ABELARDO L. RODRIGUEZ,04,040030058,04003,14400,2,bienpesca,BIENPESCA,2020
CAMPECHE,CARMEN,ABELARDO L. RODRIGUEZ,04,040030058,04003,14400,2,bienpesca,BIENPESCA,2021
CAMPECHE,CARMEN,ABELARDO L. RODRIGUEZ,04,040030058,04003,14400,2,bienpesca,BIENPESCA,2022
NAYARIT,ROSAMORADA,ABELARDO L. RODRIGUEZ (AMAPA),18,180100002,18010,151200,21,bienpesca,BIENPESCA,2020
NAYARIT,ROSAMORADA,ABELARDO L. RODRIGUEZ (AMAPA),18,180100002,18010,144000,20,bienpesca,BIENPESCA,2021
NAYARIT,ROSAMORADA,ABELARDO L. RODRIGUEZ (AMAPA),18,180100002,18010,144000,20,bienpesca,BIENPESCA,2022
SINALOA,ELOTA,ABOCHO (ESTACION ABOCHO),25,250080002,25008,64800,9,bienpesca,BIENPESCA,2020
SINALOA,ELOTA,ABOCHO (ESTACION ABOCHO),25,250080002,25008,64800,9,bienpesca,BIENPESCA,2021
SINALOA,ELOTA,ABOCHO (ESTACION ABOCHO),25,250080002,25008,57600,8,bienpesca,BIENPESCA,2022
SINALOA,ELOTA,ABOCHO (ESTACION ABOCHO),25,250080002,25008,15000,8,bienpesca,BIENPESCA,2023
CHIAPAS,MAPASTEPEC,ABRAHAM GONZALEZ,07,070510205,07051,7200,1,bienpesca,BIENPESCA,2020
CHIAPAS,MAPASTEPEC,ABRAHAM GONZALEZ,07,070510205,07051,7200,1,bienpesca,BIENPESCA,2021
CHIAPAS,MAPASTEPEC,ABRAHAM GONZALEZ,07,070510205,07051,7200,1,bienpesca,BIENPESCA,2022
VERACRUZ,ACULA,ABREVADERO,NA,NA,NA,201600,28,bienpesca,BIENPESCA,2020
VERACRUZ,ACULA,ABREVADERO,NA,NA,NA,201600,28,bienpesca,BIENPESCA,2021
VERACRUZ,ACULA,ABREVADERO,NA,NA,NA,201600,28,bienpesca,BIENPESCA,2022
SINALOA,CULIACAN,ABUYA,25,250060092,25006,36000,5,bienpesca,BIENPESCA,2020
SINALOA,CULIACAN,ABUYA,25,250060092,25006,36000,5,bienpesca,BIENPESCA,2021
SINALOA,CULIACAN,ABUYA,25,250060092,25006,28800,4,bienpesca,BIENPESCA,2022
SINALOA,CULIACAN,ABUYA,25,250060092,25006,7500,4,bienpesca,BIENPESCA,2023
SINALOA,CULIACAN,ABUYA Y CEUTA SEGUNDA (EJIDO ECHEVERRIA),25,250060966,25006,7200,1,bienpesca,BIENPESCA,2020
SINALOA,CULIACAN,ABUYA Y CEUTA SEGUNDA (EJIDO ECHEVERRIA),25,250060966,25006,7200,1,bienpesca,BIENPESCA,2021
