NOM_ENT,NOM_MUN,NOM_LOC,CVE_ENT,CVE_LOC,CVE_MUN,tot_value,no_sub,subsidy,rnpa,year
GUERRERO,ACAPULCO DE JUAREZ,10 DE ABRIL,12,120010377,12001,7000,1,bienpesca,1201006333,2018
GUERRERO,ACAPULCO DE JUAREZ,10 DE ABRIL,12,120010377,12001,7200,1,bienpesca,1201006333,2019
GUERRERO,ACAPULCO DE JUAREZ,10 DE ABRIL,12,120010377,12001,14000,2,bienpesca,1201006408,2018
GUERRERO,ACAPULCO DE JUAREZ,10 DE ABRIL,12,120010377,12001,7200,1,bienpesca,1201006408,2019
GUERRERO,ACAPULCO DE JUAREZ,10 DE ABRIL,12,120010377,12001,14400,2,bienpesca,1201007133,2019
GUERRERO,ACAPULCO DE JUAREZ,10 DE ABRIL,12,120010377,12001,7000,1,bienpesca,1201007844,2017
GUERRERO,ACAPULCO DE JUAREZ,10 DE ABRIL,12,120010377,12001,14400,2,bienpesca,1201007844,2019
GUERRERO,ACAPULCO DE JUAREZ,10 DE ABRIL,12,120010377,12001,35000,5,bienpesca,1201007893,2018
GUERRERO,ACAPULCO DE JUAREZ,10 DE ABRIL,12,120010377,12001,28800,4,bienpesca,1201007893,2019
GUERRERO,ACAPULCO DE JUAREZ,10 DE ABRIL,12,120010377,12001,7000,1,bienpesca,1201008941,2018
GUERRERO,ACAPULCO DE JUAREZ,10 DE ABRIL,12,120010377,12001,7000,1,bienpesca,1201008974,2017
GUERRERO,ACAPULCO DE JUAREZ,10 DE ABRIL,12,120010377,12001,14000,2,bienpesca,1201009006,2018
GUERRERO,ACAPULCO DE JUAREZ,10 DE ABRIL,12,120010377,12001,7000,1,bienpesca,1201009287,2018
GUERRERO,ACAPULCO DE JUAREZ,10 DE ABRIL,12,120010377,12001,14400,2,bienpesca,1201009287,2019
GUERRERO,ACAPULCO DE JUAREZ,10 DE ABRIL,12,120010377,12001,14400,2,bienpesca,1201009303,2019
SINALOA,GUASAVE,15 DE OCTUBRE,25,250110814,25011,8000,1,bienpesca,2505001079,2014
SINALOA,GUASAVE,15 DE OCTUBRE,25,250110814,25011,7200,1,bienpesca,2505001079,2019
SONORA,HUATABAMPO,17 DE OCTUBRE,26,260330197,26033,7000,1,bienpesca,2602001402,2018
SONORA,HUATABAMPO,17 DE OCTUBRE,26,260330197,26033,8000,1,bienpesca,2604000386,2014
SONORA,HUATABAMPO,17 DE OCTUBRE,26,260330197,26033,7000,1,bienpesca,2604000386,2016
SONORA,HUATABAMPO,17 DE OCTUBRE,26,260330197,26033,28000,4,bienpesca,2604000386,2017
SONORA,HUATABAMPO,17 DE OCTUBRE,26,260330197,26033,7000,1,bienpesca,2604000386,2018
TAMAULIPAS,VALLE HERMOSO,18 DE MARZO (BRECHA 120 ENTRE SUR 92 Y SUR 93),28,280400256,28040,7000,1,bienpesca,2804000616,2016
CHIAPAS,VILLA CORZO,1RO DE MAYO,NA,NA,NA,7000,1,bienpesca,707000303,2017
OAXACA,SAN FRANCISCO IXHUATAN,20 DE NOVIEMBRE,20,201430038,20143,28000,4,bienpesca,2001001151,2017
SINALOA,GUASAVE,22,NA,NA,NA,42000,6,bienpesca,2505000246,2018
SINALOA,GUASAVE,22,NA,NA,NA,304000,38,bienpesca,2505000915,2014
SINALOA,GUASAVE,22,NA,NA,NA,77000,11,bienpesca,2505000915,2015
SINALOA,GUASAVE,22,NA,NA,NA,189000,27,bienpesca,2505000915,2016
SINALOA,GUASAVE,22,NA,NA,NA,98000,14,bienpesca,2505000915,2017
SINALOA,GUASAVE,22,NA,NA,NA,63000,9,bienpesca,2505000915,2018
SINALOA,GUASAVE,24 DE FEBRERO,25,250111020,25011,7000,1,bienpesca,2505001111,2017
SINALOA,ELOTA,26 DE ENERO,25,250080102,25008,7200,1,bienpesca,2501001594,2019
TABASCO,CARDENAS,27 DE FEBRERO LOCATARIOS DEL MERCADO,NA,NA,NA,7200,1,bienpesca,2704002506,2019
SONORA,CAJEME,31 DE OCTUBRE,26,260180397,26018,8000,1,bienpesca,2602001394,2014
SONORA,CAJEME,31 DE OCTUBRE,26,260180397,26018,7000,1,bienpesca,2602001394,2017
SINALOA,NAVOLATO,4 VIENTOS,NA,NA,NA,7200,1,bienpesca,2509000184,2019
CAMPECHE,CARMEN,5 DE MAYO,NA,NA,NA,7200,1,bienpesca,402001168,2019
SONORA,GUAYMAS,5 DE MAYO (EL RANCHITO),26,260290785,26029,7000,1,bienpesca,2607003890,2016
SONORA,GUAYMAS,5 DE MAYO (EL RANCHITO),26,260290785,26029,7000,1,bienpesca,2607004302,2015
SINALOA,AHOME,89 B DE I,NA,NA,NA,7000,1,bienpesca,2505002739,2018
BAJA CALIFORNIA SUR,LA PAZ,A DONDE,03,030031739,03003,7000,1,bienpesca,305007270,2016
BAJA CALIFORNIA SUR,LA PAZ,A DONDE,03,030031739,03003,7000,1,bienpesca,305007270,2018
TAMAULIPAS,MATAMOROS,AARON RODRIGUEZ,NA,NA,NA,14400,2,bienpesca,2804000608,2019
TAMAULIPAS,ABASOLO,ABASOLO,28,280010001,28001,7000,1,bienpesca,2808006619,2018
TAMAULIPAS,ABASOLO,ABASOLO,28,280010001,28001,14000,2,bienpesca,2808007922,2017
NAYARIT,ROSAMORADA,ABELARDO L RODRIGUEZ (AMAPA),NA,NA,NA,91000,13,bienpesca,1805000617,2015
NAYARIT,ROSAMORADA,ABELARDO L RODRIGUEZ (AMAPA),NA,NA,NA,189000,27,bienpesca,1805000617,2016
NAYARIT,ROSAMORADA,ABELARDO L RODRIGUEZ (AMAPA),NA,NA,NA,112000,16,bienpesca,1805000617,2017
NAYARIT,ROSAMORADA,ABELARDO L RODRIGUEZ (AMAPA),NA,NA,NA,119000,17,bienpesca,1805000617,2018
NAYARIT,ROSAMORADA,ABELARDO L RODRIGUEZ AMAPA,NA,NA,NA,57600,8,bienpesca,1805000617,2019
SINALOA,ELOTA,ABOCHO ESTACION ABOCHO,NA,NA,NA,28800,4,bienpesca,2501001677,2019
VERACRUZ,ACULA,ABREVADERO,NA,NA,NA,14000,2,bienpesca,3009004445,2017
VERACRUZ,ACULA,ABREVADERO,NA,NA,NA,49000,7,bienpesca,3009004551,2017
VERACRUZ,ACULA,ABREVADERO,NA,NA,NA,70000,10,bienpesca,3009004551,2018
