EJERCICIO,programa,componente,incentivo,uni_admin,cve_presupuestal,beneficiario,monto_federal_aportado,tipo_cobertura,zona,entidad,cve_ent,municipio,cve_mun,localidad,cve_loc,cve_inegi,fecha_ini,fechar_ter,tipo_apoyo,direccion,tipodecomite,PESQUERIA,rnpa,RNPA_disponible,entidad_comite,cobertura_comite,pesqueria_estandar,clasificacion_cn,ID_ben
2014,Vinculacion Productiva,Desarrollo de Cadenas Productivas,NA,Direccion General de Organizacion y Fomento,U013-UAI,ASOCIACION ESPECIE PRODUCTO TRUCHA PARA EL ESTADO DE PUEBLA AC,470000,LOCAL,AGUAS INTERIORES,PUEBLA,21,PUEBLA,21114,HEROICA PUEBLA DE ZARAGOZA,211140001,211140001,  4/7/2014, 3/31/2015,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Privada Hidalgo 2107 Col. San Diego Ciudad San Pedro Cholula Edo. Puebla C.P. 72755,ESTATAL,TRUCHA,NA,No Disponible,PUEBLA,ESTATAL,TRUCHAS,CADENAS PRODUCTIVAS,ASOCIACION ESPECIE PRODUCTO TRUCHA PARA EL ESTADO DE PUEBLA AC-XX-XX-211140001
2014,Fomento a la Productividad Pesquera y Acuicola,Integracion Productiva y Comercial Pesquera y Acuicola., Sistemas Producto,Direccion General de Organizacion y Fomento,S261-4DC,COMITE ESTATAL DEL SISTEMA PRODUCTO PULPO YUCATAN AC,408000,LOCAL,CARIBE,YUCATAN,31,MERIDA,31050,MERIDA,310500001,310500001,  4/7/2014, 3/31/2015,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle 33 247 Col.  Ciudad  Edo. Yucatan C.P. ,ESTATAL,PULPO,NA,No Disponible,YUCATAN,ESTATAL,PULPOS,CADENAS PRODUCTIVAS,COMITE ESTATAL DEL SISTEMA PRODUCTO PULPO YUCATAN AC-XX-XX-310500001
2014,Vinculacion Productiva,Desarrollo de Cadenas Productivas,NA,Direccion General de Organizacion y Fomento,U013-UAI,COMITE HIDALGUENSE SISTEMA PRODUCTO TRUCHA AC,650000,LOCAL,AGUAS INTERIORES,HIDALGO,13,TULANCINGO DE BRAVO,13077,TULANCINGO,130770001,130770001,  4/7/2014, 3/31/2015,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Miguel Hidalgo 20 Col. La Canada Ciudad Tulancingo Edo. Hidalgo C.P. 43615,ESTATAL,TRUCHA,NA,No Disponible,HIDALGO,ESTATAL,TRUCHAS,CADENAS PRODUCTIVAS,COMITE HIDALGUENSE SISTEMA PRODUCTO TRUCHA AC-XX-XX-130770001
2014,Fomento a la Productividad Pesquera y Acuicola,Integracion Productiva y Comercial Pesquera y Acuicola., Sistemas Producto,Direccion General de Organizacion y Fomento,S261-4DC,COMITE NACIONAL SISTEMA PRODUCTO CALAMAR GIGANTE AC,1500400,LOCAL,PACIFICO NORTE,SONORA,26,GUAYMAS,26029,HEROICA GUAYMAS,260290001,260290001,  4/7/2014, 3/31/2015,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Calle 12 Avenida Serdan 465 Col. Guaymas Centro Ciudad Heroica Guaymas Edo. Sonora C.P. 85400,NACIONAL,CALAMAR,NA,No Disponible,NA,NACIONAL,CALAMARES,CADENAS PRODUCTIVAS,COMITE NACIONAL SISTEMA PRODUCTO CALAMAR GIGANTE AC-XX-XX-260290001
2014,Fomento a la Productividad Pesquera y Acuicola,Integracion Productiva y Comercial Pesquera y Acuicola., Sistemas Producto,Direccion General de Organizacion y Fomento,S261-4DC,COMITE NACIONAL SISTEMA PRODUCTO CAMARON DE ALTAMAR AC,1996000,LOCAL,PACIFICO NORTE,SINALOA,25,CULIACAN,25006,CULIACAN ROSALES,250060001,250060001,  4/7/2014, 3/31/2015,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Varsovia 33 Col. Juarez Ciudad Ciudad De Mexico Edo. Ciudad De Mexico C.P. 6600,NACIONAL,CAMARON ALTAMAR,NA,No Disponible,NA,NACIONAL,CAMARONES,CADENAS PRODUCTIVAS,COMITE NACIONAL SISTEMA PRODUCTO CAMARON DE ALTAMAR AC-XX-XX-250060001
2014,Fomento a la Productividad Pesquera y Acuicola,Integracion Productiva y Comercial Pesquera y Acuicola., Sistemas Producto,Direccion General de Organizacion y Fomento,S261-4DC,COMITE NACIONAL SISTEMA PRODUCTO CAMARON DE ALTAMAR AC,1286000,LOCAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,CUAUHTEMOC,9015,CUAUHTEMOC,90150001,90150001,  4/7/2014, 3/31/2015,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Varsovia 33 Col. Juarez Ciudad Ciudad De Mexico Edo. Ciudad De Mexico C.P. 6600,NACIONAL,CAMARON ALTAMAR,NA,No Disponible,NA,NACIONAL,CAMARONES,CADENAS PRODUCTIVAS,COMITE NACIONAL SISTEMA PRODUCTO CAMARON DE ALTAMAR AC-XX-XX-090150001
2014,Fomento a la Productividad Pesquera y Acuicola,Integracion Productiva y Comercial Pesquera y Acuicola., Sistemas Producto,Direccion General de Organizacion y Fomento,S261-4DC,COMITE NACIONAL SISTEMA PRODUCTO PELAGICOS MENORES AC,1779000,LOCAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,20010001,20010001,  4/7/2014, 3/31/2015,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Calle 10 Zona Centro C.P 22800 279 Col. Seccion Primera Ciudad Ensenada Edo. Baja California C.P. 22800,NACIONAL,PELAGICOS MENORES,NA,No Disponible,NA,NACIONAL,PELAGICOS MENORES,CADENAS PRODUCTIVAS,COMITE NACIONAL SISTEMA PRODUCTO PELAGICOS MENORES AC-XX-XX-020010001
2014,Vinculacion Productiva,Desarrollo de Cadenas Productivas,NA,Direccion General de Organizacion y Fomento,U013-UAI,COMITE SISTEMA PRODUCTO PELAGICOS MENORES DE BAJA CALIFORNIA AC,800000,LOCAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,20010001,20010001,  4/7/2014, 3/31/2015,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Decima 272 Col. Seccion Primera Ciudad Ensenada Edo. Baja California C.P. 22800,ESTATAL,PELAGICOS MENORES,NA,No Disponible,BAJA CALIFORNIA,ESTATAL,PELAGICOS MENORES,CADENAS PRODUCTIVAS,COMITE SISTEMA PRODUCTO PELAGICOS MENORES DE BAJA CALIFORNIA AC-XX-XX-020010001
2014,Vinculacion Productiva,Desarrollo de Cadenas Productivas,NA,Direccion General de Organizacion y Fomento,U013-UAI,COMITE SISTEMA PRODUCTO TILAPIA DE ANGELOPOLIS AC,713000,LOCAL,AGUAS INTERIORES,PUEBLA,21,HUEYTAMALCO,21076,HUEYTAMALCO,210760001,210760001,  4/7/2014, 3/31/2015,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Dom. Conocido En Lomonateno Grande Sn Col. Hueytamalco Ciudad Localidad Edo. Puebla C.P. 73580,ESTATAL,TILAPIA,NA,No Disponible,PUEBLA,ESTATAL,ESCAMA,CADENAS PRODUCTIVAS,COMITE SISTEMA PRODUCTO TILAPIA DE ANGELOPOLIS AC-XX-XX-210760001
2014,Fomento a la Productividad Pesquera y Acuicola,Integracion Productiva y Comercial Pesquera y Acuicola., Sistemas Producto,Direccion General de Organizacion y Fomento,S261-4DC,COMITE SISTEMA PRODUCTO TILAPIA DE MEXICO AC,1999000,LOCAL,PACIFICO NORTE,SINALOA,25,CULIACAN,25006,CULIACAN ROSALES,250060001,250060001,  4/7/2014, 3/31/2015,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Miguel Hidalgo  373 Col.  Ciudad  Edo. Sinaloa C.P. ,NACIONAL,TILAPIA,NA,No Disponible,NA,NACIONAL,ESCAMA,CADENAS PRODUCTIVAS,COMITE SISTEMA PRODUCTO TILAPIA DE MEXICO AC-XX-XX-250060001
