EJERCICIO,programa,componente,incentivo,apoyo,beneficiario,tipo_apoyo,concepto_apoyo,monto_solicitado,monto_federal_aportado,PESQUERIA,cobertura_apoyo,zona,entidad,cve_ent,municipio,cve_mun,localidad,cve_loc,tipo_persona,cve_inegi,unidadeconmica,rnpa,RNPA_disponible,clasificacion_cn,ID_ben
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",PESQUERA MAGGI MAGGI SA DE CV,CAMPANA,CAMPAÑA DE ´POSICIONAMIENTO ESTRATEGICO DE LA PESCA Y PROMOCIÓN DE LA PESCA SUSTENTABLE ,6800000,6800000,PESCADOS Y MARISCOS,NACIONAL Y REGIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,PESQUERA MAGGI MAGGI SA DE CV,2508010507,Disponible,FOMENTO AL CONSUMO,PESQUERA MAGGI MAGGI SA DE CV-PESQUERA MAGGI MAGGI SA DE CV-2508010507-XXXXXXXXX
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,ESTUDIOS DE MERCADO Y MONITOREO DE CONSUMO,ESTUDIO DE DIAGNOSTICO Y CONSUMO,CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO AC,ESTUDIO,ESTUDIO ANALITICO Y NUTRIMENTAL DE PRODUCTOS PESQUEROS Y ACUICOLAS MEXICANOS,1667094,1667094,PESCADOS Y MARISCOS,NACIONAL,PACIFICO NORTE,SONORA,26,HERMOSILLO,26030,HERMOSILLO,260300001,MORAL,260300001,CENTRO DE INVEST EN ALIMENTACION Y DESARROLLO AC (CIAD),2508011059,Disponible,FOMENTO AL CONSUMO,CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO AC-CENTRO DE INVEST EN ALIMENTACION Y DESARROLLO AC (CIAD)-2508011059-260300001
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,MISIONES COMERCIALES Y DE INTERCAMBIO,MISIONES COMERCIALES Y DE INTERCAMBIO,FRUTOS MARINOS SA DE CV,MISION,"MISION COMERCIAL DE NEGOCIOS A RUSIA, EN APOYO A LA COMERCIALIZACION DE PRODUCTOS PESQUEROS Y ACUICOLAS",70000,70000,PESCADOS Y MARISCOS,MUNDIAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,FRUTOS MARINOS SA DE CV,2604610135,Disponible,FOMENTO AL CONSUMO,FRUTOS MARINOS SA DE CV-FRUTOS MARINOS SA DE CV-2604610135-XXXXXXXXX
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",ASOCIACION DE PRODUCTORES ACUICOLAS DEL ESTADO DE ZACATECAS SISTEMA PRODUCTO TILAPIA AC,FERIA,QUINTA FERIA DE LA TILAPIA 2018,197190,197190,TILAPIA,REGIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,ASOCIACION DE PRODUCTORES DE TILAPIA DEL ESTADO DE TLAXCALA AC,2901002523,Disponible,FOMENTO AL CONSUMO,ASOCIACION DE PRODUCTORES ACUICOLAS DEL ESTADO DE ZACATECAS SISTEMA PRODUCTO TILAPIA AC-ASOCIACION DE PRODUCTORES DE TILAPIA DEL ESTADO DE TLAXCALA AC-2901002523-XXXXXXXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",COMITE NACIONAL SISTEMA PRODUCTO CAMARON DE ALTAMAR AC,CAMPANA,CAMPANA INTEGRAL III DE PROMOCION DE FOMENTO AL CONSUMO DE PESCADOS Y MARISCOS MEXICANOS,10000000,10000000,PESCADOS Y MARISCOS,REGIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,COMITE NACIONAL SISTEMA PRODUCTO CAMARON DE ALTAMAR AC-XX-XX-XXXXXXXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",COMITE SISTEMA PRODUCTO PELAGICOS MENORES DE BAJA CALIFORNIA AC,EVENTO,FERIA NACIONAL DE SARDINA,600000,600000,SARDINA,REGIONAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,20010001,MORAL,20010001,NA,NA,No Disponible,FOMENTO AL CONSUMO,COMITE SISTEMA PRODUCTO PELAGICOS MENORES DE BAJA CALIFORNIA AC-XX-XX-020010001
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,ESTUDIO DE DIAGNOSTICO Y CONSUMO,ESTUDIO DE DIAGNOSTICO Y CONSUMO,INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN,ESTUDIO,ESTUDIO ANALITICO Y NUTRIMENTAL DE PRODUCTOS PESQUEROS Y ACUICOLAS MEXICANOS,1597600,1597600,PESCADOS Y MARISCOS,NACIONAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. TLALPAN,9012,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN-XX-XX-09012XXXX
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",VICTORIA POR VICTORIA AC,EVENTO,2DO FORO ACUICOLA Y PESQUERO DE LA CONFEDERACION NACIONAL CAMPESINA UNPAC-CNC 2015,2500000,2500000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,SINALOA,25,MAZATLAN,25012,MAZATLAN,250120001,MORAL,250120001,NA,NA,No Disponible,FOMENTO AL CONSUMO,VICTORIA POR VICTORIA AC-XX-XX-250120001
2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",COMITE NACIONAL SISTEMA PRODUCTO CAMARON DE ALTAMAR AC,EVENTO,FESTIVAL DE CAMARON 2016,1000000,1000000,CAMARON,ESTATAL,AGUAS INTERIORES,DURANGO,10,DURANGO,10005,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,COMITE NACIONAL SISTEMA PRODUCTO CAMARON DE ALTAMAR AC-XX-XX-10005XXXX
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,CAMPANAS INTEGRALES DE PROMOCION DE FOMENTO AL CONSUMO,ESTUDIO DE DIAGNOSTICO Y CONSUMO,CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC,CAMPANA,CAMPANA INTEGRAL II DE FOMENTO AL CONSUMO DE PESCADOS Y MARISCOS MEXICANOS,21000000,21000000,PESCADOS Y MARISCOS,REGIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC-XX-XX-XXXXXXXXX
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",FEDERACION DE COOPERATIVAS DE PRODUCCION PESQUERAS AUTENTICOS PESCADORES DE LA BAHIA DEL TOBARI SC DE RL DE CV,EVENTO,PRIMER CONGRESO NACIONAL COOPERATIVO DEL SECTOR PESQUERO MEXICANO 2018,3200000,3200000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,SONORA,26,ACONCHI,26001,ACONCHI,260010001,MORAL,260010001,NA,NA,No Disponible,FOMENTO AL CONSUMO,FEDERACION DE COOPERATIVAS DE PRODUCCION PESQUERAS AUTENTICOS PESCADORES DE LA BAHIA DEL TOBARI SC DE RL DE CV-XX-XX-260010001
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",UNION NACIONAL DE PESCA Y ACUACULTURA DE LA CONFEDERACION NACIONAL CAMPESINA AC,EVENTO,LA REVOLUCION ACUICOLA Y PESQUERA DE MEXICO,1500000,1500000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,NAYARIT,18,TEPIC,18017,TEPIC,180170001,MORAL,180170001,NA,NA,No Disponible,FOMENTO AL CONSUMO,UNION NACIONAL DE PESCA Y ACUACULTURA DE LA CONFEDERACION NACIONAL CAMPESINA AC-XX-XX-180170001
2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",HINFRA SA DE CV,EVENTO,UNA AVENTURA MARINA 2016,1000000,1000000,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,PUEBLA,21,PUEBLA,21114,HEROICA PUEBLA DE ZARAGOZA,211140001,MORAL,211140001,NA,NA,No Disponible,FOMENTO AL CONSUMO,HINFRA SA DE CV-XX-XX-211140001
2019,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",OSTRICULTORES DE BAJA CALIFORNIA AC,EVENTO,OYSTER FEST 2019,186409.2,186000,OSTION,ESTATAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,OSTRICULTORES DE BAJA CALIFORNIA AC-XX-XX-02001XXXX
