beneficiario,EJERCICIO,programa,componente,unidad_administrativa,cve_entidad,entidad,monto_federal_aportado,tipo_cobertura,nom_abr,rnpa,unidadeconmica,tipo_ue,tipopersona_ue,representantelegal_ue,tipoempresa_ue,estado_ue,cve_ent_ue,municipio,cve_mun,localidad_ue,cve_loc,cve_inegi,ambito_ue,latitud_ue,longitud_ue,altitud_ue,lat_dec_ue,lon_dec_ue,iniciooper,fechaderegistroactualizacion_ue,RNPA_disponible,zona,clasificacion_cn
ACUICOLA DON CHICO SPR DE RL DE CV,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,1718855.6,ESTATAL,SIN,2505004263,ACUICOLA DON CHICO SPR DE RI,CAPTURA,MORAL,RAMIRO DIMAS ORTIZ,SOCIEDAD DE PRODUCCIÓN RURAL,SINALOA,25,GUASAVE,11,GUASAVE,1,250110001,U,253355.97,1082818.543,21,25.565547,-108.471818,12/1/2011,1/2/2016,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
AGROTURISTICA EL CARRIZO SC DE RL DE CV,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,14,JALISCO,109910,ESTATAL,JAL,1404004002,AGROTURISTA EL CARRIZO SC DE RL DE CV,CAPTURA,MORAL,EFRAIN DEL TORO PULIDO,COOPERATIVA,JALISCO,14,TAMAZULA DE GORDIANO,85,VILLA DE CONTLA (CONTLA),38,140850038,R,194505.489,1031100.421,1160,19.751525,-103.18345,18/02/2009,29/02/16,Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
ALIANZA DE PESCADORES DE LERMA AC,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,4,CAMPECHE,185224,ESTATAL,CAMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
ARMANDO PALACIOS SANTIAGO,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,429465.9,ESTATAL,VER,3001008709,ARMANDO PALACIOS SANTIAGO,CAPTURA,FISÍCA,ARMANDO PALACIOS SANTIAGO,NO_DISPONIBLE,NO DISPONIBLE,30,NO DISPONIBLE,NA,NO DISPONIBLE,NA,NA,NA,NA,NA,NA,NA,NA,18/08/2011,18/08/11,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
ASAEL SANTILLANES LOPEZ,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,552100.5,ESTATAL,SIN,2506001813,ASAEL SANTILLANES LOPEZ,CAPTURA,FISÍCA,ASAEL SANTILLANES LOPEZ,NO_DISPONIBLE,SINALOA,25,ANGOSTURA,2,LA REFORMA,93,250020093,U,250450.789,1080313.941,4,25.080775,-108.053873,18/03/2012,23/07/15,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
ASOCIACION DE PROFESIONALES DE LA TECNOLOGIA Y LAS CIENCIAS DEL MAR AC,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,580000,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
ASOCIACION ESTATAL DE PESCA DEPORTIVA Y PRESTADORES DE SERVICIOS NAUTICOS DEL ESTADO DE CAMPECHE AC,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,4,CAMPECHE,298480,ESTATAL,CAMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
ASOCIACION ESTATAL DE PRODUCTORES DE LA INDUSTRIA PESQUERA Y ACUICOLA DE VERACRUZ AC,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,30,VERACRUZ,846900,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
ASOCIACION PESQUERA REGASA NUM 2 SPR DE RL,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,2,BAJA CALIFORNIA,395850,ESTATAL,BC,203004726,SPR ASOCIACION PESQUERA REGASA NO 2 DE RL,CAPTURA,MORAL,SANTIAGO RESECK DUARTE,SOCIEDAD DE PRODUCCIÓN RURAL,BAJA CALIFORNIA,2,ENSENADA,1,EL ROSARIO DE ARRIBA,198,20010198,R,300350.271,1154315.129,35,30.063964,-115.720869,18/08/2011,14/02/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
BAJOS DE AJORO SC DE RL DE CV,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,2145137.92,ESTATAL,SIN,2507003503,BAJOS DE AJORO SC DE RL DE CV,"ACUACULTURA, CAPTURA",MORAL,JOSE DE JESUS GUZMAN HIGUERA,COOPERATIVA,SINALOA,25,AHOME,1,LOS MOCHIS,1,250010001,U,254700.301,1085939.634,9,25.783417,-108.994343,23/07/2003,25/10/16,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
