EJERCICIO,programa,componente,concepto_apoyo,tipo_apoyo,unidad_administrativa,monto_federal_aportado,beneficiario,tipo_cobertura,zona,entidad,cve_ent,municipio,cve_mun,localidad,cve_loc,cve_inegi,PESQUERIA,RNPA_disponible,unidadeconmica,rnpa,clasificacion_cn,ID_ben
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,ECONÓMICO,DIRECCION GENERAL DE INFRAESTRUCTURA,2000000,ASOCIACION PESQUERA MORTERA DE LEYVA SPR DE RL,LOCAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,EL ROSARIO DE ARRIBA,198,20010198,NA,Disponible,ASOCIACION PESQUERA MORTERA DE LEYVA SPR DE RL,203009949,OBRAS Y ESTUDIOS,ASOCIACION PESQUERA MORTERA DE LEYVA SPR DE RL-ASOCIACION PESQUERA MORTERA DE LEYVA SPR DE RL-0203009949-020010198
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,ESTUDIO,DIRECCION GENERAL DE INFRAESTRUCTURA,1000000,SCPP LA PURISIMA SC DE RL,LOCAL,PACIFICO NORTE,BAJA CALIFORNIA SUR,3,MULEGE,3002,PUNTA EUGENIA,119,30020119,NA,Disponible,SCPP LA PURISIMA SCL,301000105,OBRAS Y ESTUDIOS,SCPP LA PURISIMA SC DE RL-SCPP LA PURISIMA SCL-0301000105-030020119
2019,Programa de Fortalecimiento a la Productividad Pesquera y Acuícola,Impulso a la Capitalización,OBRAS Y ESTUDIOS,Estudios,DIRECCION GENERAL DE INFRAESTRUCTURA,1000000,SCPP ENSENADITA VERDE SC DE RL DE CV,LOCAL,PACIFICO NORTE,BAJA CALIFORNIA SUR,3,LA PAZ,3003,LA PAZ,1,30030001,"Escama Marina, otros",Disponible,SCPP ENSENADITA VERDE SC DE RL DE CV,305006991,OBRAS Y ESTUDIOS,SCPP ENSENADITA VERDE SC DE RL DE CV-SCPP ENSENADITA VERDE SC DE RL DE CV-0305006991-030030001
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,OBRA,DIRECCION GENERAL DE INFRAESTRUCTURA,1991668.31,SC MULEGE DORADO SC DE RL DE CV,LOCAL,PACIFICO NORTE,BAJA CALIFORNIA SUR,3,MULEGE,3002,VILLAS MULEGE,1095,30021095,NA,Disponible,SC MULEGE DORADO SC DE RL DE CV,312003189,OBRAS Y ESTUDIOS,SC MULEGE DORADO SC DE RL DE CV-SC MULEGE DORADO SC DE RL DE CV-0312003189-030021095
2019,Programa de Fortalecimiento a la Productividad Pesquera y Acuícola,Impulso a la Capitalización,OBRAS Y ESTUDIOS,Muelle o Atracadero,DIRECCION GENERAL DE INFRAESTRUCTURA,3998480.26,SCPP GRAL MELITRON ALBANEZ SCL,LOCAL,PACIFICO NORTE,BAJA CALIFORNIA SUR,3,COMODU,3001,PUERTI ALCATREZ,241,30010241,"Camaron, Langosta, Escama Marina",No Disponible,NA,NA,OBRAS Y ESTUDIOS,SCPP GRAL MELITRON ALBANEZ SCL-XX-035000028-030010241
2019,Programa de Fortalecimiento a la Productividad Pesquera y Acuícola,Impulso a la Capitalización,OBRAS Y ESTUDIOS,Muelle o Atracadero,DIRECCION GENERAL DE INFRAESTRUCTURA,3396172.26,PESCADORES DEL COJOL SC DE RL DE CV,LOCAL,CARIBE,CAMPECHE,4,CALKINI,4001,ISLA ARENA,2,40010002,"Escama Marina, otros",Disponible,PESCADORES DEL COJOL SC DE RL DE CV,408000149,OBRAS Y ESTUDIOS,PESCADORES DEL COJOL SC DE RL DE CV-PESCADORES DEL COJOL SC DE RL DE CV-0408000149-040010002
2019,Programa de Fortalecimiento a la Productividad Pesquera y Acuícola,Impulso a la Capitalización,OBRAS Y ESTUDIOS,Unidad Básica Infraestructura,DIRECCION GENERAL DE INFRAESTRUCTURA,1759386.81,PESCADORES DE EBEN EZER SC DE RL DE CV,LOCAL,CARIBE,CAMPECHE,4,CALKINI,4001,ISLA ARENA,2,40010002,"Escama Marina, otros",Disponible,PESCADORES DE EBENEZER SC DE RL DE CV,408000156,OBRAS Y ESTUDIOS,PESCADORES DE EBEN EZER SC DE RL DE CV-PESCADORES DE EBENEZER SC DE RL DE CV-0408000156-040010002
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,OBRA,DIRECCION GENERAL DE INFRAESTRUCTURA,3164340,PESCAMAR DE ISLA ARENA SC DE RL,LOCAL,CARIBE,CAMPECHE,4,CALKINI,4001,ISLA ARENA,2,40010002,NA,Disponible,PESCAMAR DE ISLA ARENA SC DE RL,408000740,OBRAS Y ESTUDIOS,PESCAMAR DE ISLA ARENA SC DE RL-PESCAMAR DE ISLA ARENA SC DE RL-0408000740-040010002
2019,Programa de Fortalecimiento a la Productividad Pesquera y Acuícola,Impulso a la Capitalización,OBRAS Y ESTUDIOS,Muelle o Atracadero,DIRECCION GENERAL DE INFRAESTRUCTURA,1949303.31,SCPP EL PARAISO DE ARMERIA COLIMA SC DE RL,LOCAL,PACIFICO SUR,COLIMA,6,ARMERIA,6001,EL PARAISO,32,60010032,Escama Marina,Disponible,SCPP EL PARAISO DE ARMERIA COLIMA SC DE RL,602000473,OBRAS Y ESTUDIOS,SCPP EL PARAISO DE ARMERIA COLIMA SC DE RL-SCPP EL PARAISO DE ARMERIA COLIMA SC DE RL-0602000473-060010032
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,OBRA,DIRECCION GENERAL DE INFRAESTRUCTURA,1995343.54,SCPP BS BAHIA BOCA DEL CIELO SRL DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,TONALA,7097,DOCTOR BELISARIO DOMINGUEZ (LA BARRA),3,70970003,NA,Disponible,SCPP BS BAHIA BOCA DEL CIELO SRL DE CV,607000809,OBRAS Y ESTUDIOS,SCPP BS BAHIA BOCA DEL CIELO SRL DE CV-SCPP BS BAHIA BOCA DEL CIELO SRL DE CV-0607000809-070970003
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,OBRA,DIRECCION GENERAL DE INFRAESTRUCTURA,559999.98,SCPP BS PESCADORES MIRA MAR SCS DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,ARRIAGA,7009,LA GLORIA,249,70090249,NA,Disponible,SCPP BS PESCADORES DE MIRAMAR SCS DE CV,702000720,OBRAS Y ESTUDIOS,SCPP BS PESCADORES MIRA MAR SCS DE CV-SCPP BS PESCADORES DE MIRAMAR SCS DE CV-0702000720-070090249
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,OBRA,DIRECCION GENERAL DE INFRAESTRUCTURA,2000000,SCPP BS PESCADORES DE LA LINEA SCS DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,ARRIAGA,7009,LA LINEA,58,70090058,NA,Disponible,SCPP PESC DE LA LINEA SCL,702000779,OBRAS Y ESTUDIOS,SCPP BS PESCADORES DE LA LINEA SCS DE CV-SCPP PESC DE LA LINEA SCL-0702000779-070090058
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,OBRA,DIRECCION GENERAL DE INFRAESTRUCTURA,1985769.08,SCPP OBREROS DEL MAR DE BIENES Y SERVICIOS SC DE RL DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,PIJIJIAPAN,7069,EL ZAPOTAL,663,70690663,NA,Disponible,SCPP OBREROS DEL MAR DE B Y S SC DE CV,703000075,OBRAS Y ESTUDIOS,SCPP OBREROS DEL MAR DE BIENES Y SERVICIOS SC DE RL DE CV-SCPP OBREROS DEL MAR DE B Y S SC DE CV-0703000075-070690663
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,OBRA,DIRECCION GENERAL DE INFRAESTRUCTURA,1995343.54,SCPP BS UNION DE PESCADORES DE AGUA TENDIDA SRL DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,PIJIJIAPAN,7069,LA CONQUISTA,529,70690529,NA,Disponible,SCPP BS UNION DE PESCADORES DE AGUA TENDIDA SRL DE CV,703000349,OBRAS Y ESTUDIOS,SCPP BS UNION DE PESCADORES DE AGUA TENDIDA SRL DE CV-SCPP BS UNION DE PESCADORES DE AGUA TENDIDA SRL DE CV-0703000349-070690529
2019,Programa de Fortalecimiento a la Productividad Pesquera y Acuícola,Impulso a la Capitalización,OBRAS Y ESTUDIOS,Unidad Básica Infraestructura,DIRECCION GENERAL DE INFRAESTRUCTURA,2000000,SCPP BS BARRITA DE PAJON SC DE RL DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,MAPASTEPEC,7051,BARRITA DE PAJON,293,70510293,Camaron,Disponible,SCPP BS BARRITA DE PAJON SRL DE CV,703000380,OBRAS Y ESTUDIOS,SCPP BS BARRITA DE PAJON SC DE RL DE CV-SCPP BS BARRITA DE PAJON SRL DE CV-0703000380-070510293
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,OBRA,DIRECCION GENERAL DE INFRAESTRUCTURA,2000000,SCPP DE BIENES Y/O SERVICIOS UNION SANTA ISABEL SC DE RL DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,MAPASTEPEC,7051,SANTA ISABEL,766,70510766,NA,Disponible,SCPP BS UNION SANTA ISABEL SC DE RL DE CV,703000422,OBRAS Y ESTUDIOS,SCPP DE BIENES Y/O SERVICIOS UNION SANTA ISABEL SC DE RL DE CV-SCPP BS UNION SANTA ISABEL SC DE RL DE CV-0703000422-070510766
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,ESTUDIO,DIRECCION GENERAL DE INFRAESTRUCTURA,1000000,SCPP BS ACUACULTURA TECNICA DE PIJIJIAPAN SRL DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,PIJIJIAPAN,7069,SALTO DE AGUA,40,70690040,NA,Disponible,SCPP ACUACULTURA TECNICA DE PIJIJIAPAN,703000547,OBRAS Y ESTUDIOS,SCPP BS ACUACULTURA TECNICA DE PIJIJIAPAN SRL DE CV-SCPP ACUACULTURA TECNICA DE PIJIJIAPAN-0703000547-070690040
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,OBRA,DIRECCION GENERAL DE INFRAESTRUCTURA,1995343.54,SCPP BS LOS HALCONES DEL MAR SC DE RL DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,PIJIJIAPAN,7069,PALO BLANCO,1200,70691200,NA,Disponible,SCPP BS HALCONES DEL MAR SC DE RL DE CV,703000596,OBRAS Y ESTUDIOS,SCPP BS LOS HALCONES DEL MAR SC DE RL DE CV-SCPP BS HALCONES DEL MAR SC DE RL DE CV-0703000596-070691200
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,OBRA,DIRECCION GENERAL DE INFRAESTRUCTURA,1994356.55,SCPP BS BUENA VISTA SC DE RL DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,TONALA,7097,TONALA,1,70970001,NA,Disponible,SCPP BUENA VISTA SCL,706000031,OBRAS Y ESTUDIOS,SCPP BS BUENA VISTA SC DE RL DE CV-SCPP BUENA VISTA SCL-0706000031-070970001
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,OBRA,DIRECCION GENERAL DE INFRAESTRUCTURA,1996214.49,SCPP BS PESCADORES DE PAREDON SRL DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,TONALA,7097,PAREDON,40,70970040,NA,Disponible,SCPP BS PESCADORES DEL PAREDON SRL DE CV,706000098,OBRAS Y ESTUDIOS,SCPP BS PESCADORES DE PAREDON SRL DE CV-SCPP BS PESCADORES DEL PAREDON SRL DE CV-0706000098-070970040
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,OBRA,DIRECCION GENERAL DE INFRAESTRUCTURA,5000000,FED DE SCPP DE LA BAHIA DE PAREDON SC DE RL DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,TONALA,7097,PAREDON,40,70970040,NA,Disponible,SCPP BS PESC DEL BARRIO MANUEL VELASCO SUAREZ SC DE RL DE CV,706000170,OBRAS Y ESTUDIOS,FED DE SCPP DE LA BAHIA DE PAREDON SC DE RL DE CV-SCPP BS PESC DEL BARRIO MANUEL VELASCO SUAREZ SC DE RL DE CV-0706000170-070970040
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,OBRA,DIRECCION GENERAL DE INFRAESTRUCTURA,1993444.11,SCPP BS BAHIA SAN MARCOS SC DE RL DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,TONALA,7097,BOCA DEL CIELO,212,70970212,NA,Disponible,SCPP BS BAHIA SAN MARCOS SC DE RL DE CV,706000817,OBRAS Y ESTUDIOS,SCPP BS BAHIA SAN MARCOS SC DE RL DE CV-SCPP BS BAHIA SAN MARCOS SC DE RL DE CV-0706000817-070970212
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,ESTUDIO,DIRECCION GENERAL DE INFRAESTRUCTURA,1000000,SCPP BS SAN LUQUENO SRL DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,TONALA,7097,SAN LUQUEÑO,164,70970164,NA,Disponible,SCPP SAN LUQUENO SCL,706001211,OBRAS Y ESTUDIOS,SCPP BS SAN LUQUENO SRL DE CV-SCPP SAN LUQUENO SCL-0706001211-070970164
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,OBRA,DIRECCION GENERAL DE INFRAESTRUCTURA,1994356.55,SCPP BS DEL CANO TRACHIMA DEL NARANJO SC DE RL DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,TONALA,7097,EL NARANJO,394,70970394,NA,Disponible,SCPP EL CANO TRACHIMA DEL NARANJO SCL,706001245,OBRAS Y ESTUDIOS,SCPP BS DEL CANO TRACHIMA DEL NARANJO SC DE RL DE CV-SCPP EL CANO TRACHIMA DEL NARANJO SCL-0706001245-070970394
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,OBRA,DIRECCION GENERAL DE INFRAESTRUCTURA,1985769.08,SCPP BS PESCADORES DE LA BAHIA SC DE RL DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,TONALA,7097,PAREDON,40,70970040,NA,Disponible,SCPP DE BYS PESCADORES DE LA BAHIA SC DE RL DE CV,706001526,OBRAS Y ESTUDIOS,SCPP BS PESCADORES DE LA BAHIA SC DE RL DE CV-SCPP DE BYS PESCADORES DE LA BAHIA SC DE RL DE CV-0706001526-070970040
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,OBRA,DIRECCION GENERAL DE INFRAESTRUCTURA,5000000,SC DE PRODUCCION DE BIENES Y SERVICIOS CAMARONEROS DE LA BAHIA SCS DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,TONALA,7097,PAREDON,40,70970040,NA,Disponible,SCPP BS CAMARONEROS DE LA BAHIA SCS DE CV,706001534,OBRAS Y ESTUDIOS,SC DE PRODUCCION DE BIENES Y SERVICIOS CAMARONEROS DE LA BAHIA SCS DE CV-SCPP BS CAMARONEROS DE LA BAHIA SCS DE CV-0706001534-070970040
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,OBRA,DIRECCION GENERAL DE INFRAESTRUCTURA,1996335.56,SCPP BS LA PUNTA DEL MACABIL SRL DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,TONALA,7097,CABEZA DE TORO,6,70970006,NA,Disponible,SCPP BS LA PUNTA DE MACABIL SRL DE CV,706001568,OBRAS Y ESTUDIOS,SCPP BS LA PUNTA DEL MACABIL SRL DE CV-SCPP BS LA PUNTA DE MACABIL SRL DE CV-0706001568-070970006
2019,Programa de Fortalecimiento a la Productividad Pesquera y Acuícola,Impulso a la Capitalización,OBRAS Y ESTUDIOS,Unidad Básica Infraestructura,DIRECCION GENERAL DE INFRAESTRUCTURA,2000000,PRODUCCION PESQUERA LA CONCORDIA SC DE RL DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,LA CONCORDIA,7020,LA CONCORDIA,1,70200001,Escama de Agua Dulce (Mojarra),Disponible,PP LA CONCORDIA SC DE RL DE CV,707000097,OBRAS Y ESTUDIOS,PRODUCCION PESQUERA LA CONCORDIA SC DE RL DE CV-PP LA CONCORDIA SC DE RL DE CV-0707000097-070200001
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUÍCOLA,IMPULSO A LA CAPITALIZACIÓN,OBRAS Y ESTUDIOS,OBRA,DIRECCION GENERAL DE INFRAESTRUCTURA,2000000,DIAMANTE DE ECHEVERRIA SC DE RL DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,LA CONCORDIA,7020,DIAMANTE DE ECHEVERRIA,114,70200114,NA,Disponible,DIAMANTE DE ECHEVERRIA SC DE RL DE CV,707000121,OBRAS Y ESTUDIOS,DIAMANTE DE ECHEVERRIA SC DE RL DE CV-DIAMANTE DE ECHEVERRIA SC DE RL DE CV-0707000121-070200114
2019,Programa de Fortalecimiento a la Productividad Pesquera y Acuícola,Impulso a la Capitalización,OBRAS Y ESTUDIOS,Unidad Básica Infraestructura,DIRECCION GENERAL DE INFRAESTRUCTURA,2000000,PRODUCCION PESQUERA EL PARRAL SC DE RL DE CV,LOCAL,PACIFICO SUR,CHIAPAS,7,EL PARRAL,7122,JERICO (PORVENIR),48,71220048,Escama de Agua Dulce (Mojarra),Disponible,PRODUCCION PESQUERA EL PARRAL SC DE RL DE CV,707000634,OBRAS Y ESTUDIOS,PRODUCCION PESQUERA EL PARRAL SC DE RL DE CV-PRODUCCION PESQUERA EL PARRAL SC DE RL DE CV-0707000634-071220048
2019,Programa de Fortalecimiento a la Productividad Pesquera y Acuícola,Impulso a la Capitalización,OBRAS Y ESTUDIOS,Obras de Protección Marginal,DIRECCION GENERAL DE INFRAESTRUCTURA,2559485.12,COOPERATIVA COAPINOLA SC DE RL,LOCAL,PACIFICO SUR,GUERRERO,12,SAN MARCOS,12053,TECOMATE PESQUERIA,30065,120530065,Escama Marina,Disponible,COOPERATIVA COAPINOLA SC DE RL,1201007943,OBRAS Y ESTUDIOS,COOPERATIVA COAPINOLA SC DE RL-COOPERATIVA COAPINOLA SC DE RL-1201007943-120530065
2019,Programa de Fortalecimiento a la Productividad Pesquera y Acuícola,Impulso a la Capitalización,OBRAS Y ESTUDIOS,Desazolve,DIRECCION GENERAL DE INFRAESTRUCTURA,20000000,ZACUALPAN SIGLO XXI SC DE RL DE CV,LOCAL,PACIFICO SUR,GUERRERO,12,ATOYAC DE ALVAREZ,12011,ZACUALPAN,10076,120110076,"Escama Marina, Otros",Disponible,ZACUALPAN SIGLO XXI SC DE RL DE CV,1204004061,OBRAS Y ESTUDIOS,ZACUALPAN SIGLO XXI SC DE RL DE CV-ZACUALPAN SIGLO XXI SC DE RL DE CV-1204004061-120110076
