cve_inegi,rnpa,tot_monto,BIENPESCA,combustible,ordenamiento_pesquero,inspeccion_vigilancia,modernizacion_embarcaciones,sum_beneficio,COM_ID,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,lon_deg,lon_min,lon_sec,lat_deg,lat_min,lat_sec,POBTOT,num_ent,num_ent_chr,num_mun,num_mun_chr,num_loc,num_loc_chr,dec_lon,dec_lat,monto_usd
1,1401000423,7200,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360
20010001,NA,7633366,NA,137,NA,NA,NA,137,2_1_1,2,Baja California,1,Ensenada,1,Ensenada,116,35,42.482,31,48,32.198,330652,2,2,1,001,1,0001,-116.59513388888888,31.80894388888889,381668.3
20010001,NA,7633366,NA,137,NA,NA,NA,137,20_1_1,20,Oaxaca,1,Abejones,1,Abejones,96,36,29.427,17,26,8.708,841,20,20,1,01,1,0001,-96.60817416666666,17.435752222222224,381668.3
20010857,NA,205500000,NA,NA,137,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10275000
30010001,303000343,14000,2,NA,NA,NA,NA,2,3_1_1,3,Baja California Sur,1,Comondú,1,Ciudad Constitución,111,40,24.022,25,2,4.688,43805,3,3,1,001,1,0001,-111.67333944444445,25.034635555555557,700
30010001,303000350,14000,2,NA,NA,NA,NA,2,3_1_1,3,Baja California Sur,1,Comondú,1,Ciudad Constitución,111,40,24.022,25,2,4.688,43805,3,3,1,001,1,0001,-111.67333944444445,25.034635555555557,700
30010001,303000566,7000,1,NA,NA,NA,NA,1,3_1_1,3,Baja California Sur,1,Comondú,1,Ciudad Constitución,111,40,24.022,25,2,4.688,43805,3,3,1,001,1,0001,-111.67333944444445,25.034635555555557,350
30010001,NA,800000,NA,3,NA,NA,NA,3,3_1_1,3,Baja California Sur,1,Comondú,1,Ciudad Constitución,111,40,24.022,25,2,4.688,43805,3,3,1,001,1,0001,-111.67333944444445,25.034635555555557,40000
30010001,NA,304829364.95,NA,NA,NA,385,NA,385,3_1_1,3,Baja California Sur,1,Comondú,1,Ciudad Constitución,111,40,24.022,25,2,4.688,43805,3,3,1,001,1,0001,-111.67333944444445,25.034635555555557,15241468.247499999
30010001,NA,177037,NA,NA,NA,NA,4,4,3_1_1,3,Baja California Sur,1,Comondú,1,Ciudad Constitución,111,40,24.022,25,2,4.688,43805,3,3,1,001,1,0001,-111.67333944444445,25.034635555555557,8851.85
30010001,NA,435291370.28,NA,NA,152,NA,NA,0,3_1_1,3,Baja California Sur,1,Comondú,1,Ciudad Constitución,111,40,24.022,25,2,4.688,43805,3,3,1,001,1,0001,-111.67333944444445,25.034635555555557,21764568.514
30010244,305004335,21000,3,NA,NA,NA,NA,3,3_1_244,3,Baja California Sur,1,Comondú,244,La Purísima,112,4,26.978,26,11,17.831,365,3,3,1,001,244,0244,-112.07416055555555,26.18828638888889,1050
30010280,303000343,7000,1,NA,NA,NA,NA,1,3_1_280,3,Baja California Sur,1,Comondú,280,Puerto San Carlos,112,6,29.023,24,47,23.084,5742,3,3,1,001,280,0280,-112.10806194444444,24.78974555555556,350
30010280,311001325,14000,2,NA,NA,NA,NA,2,3_1_280,3,Baja California Sur,1,Comondú,280,Puerto San Carlos,112,6,29.023,24,47,23.084,5742,3,3,1,001,280,0280,-112.10806194444444,24.78974555555556,700
30010280,311001523,35000,5,NA,NA,NA,NA,5,3_1_280,3,Baja California Sur,1,Comondú,280,Puerto San Carlos,112,6,29.023,24,47,23.084,5742,3,3,1,001,280,0280,-112.10806194444444,24.78974555555556,1750
30010280,311001606,14000,2,NA,NA,NA,NA,2,3_1_280,3,Baja California Sur,1,Comondú,280,Puerto San Carlos,112,6,29.023,24,47,23.084,5742,3,3,1,001,280,0280,-112.10806194444444,24.78974555555556,700
