NOM_LOC,NOM_ENT,NOM_MUN,CVE_ENT,CVE_MUN,CVE_LOC,POBTOT,POBFEM,POBMAS,deci_lon,deci_lat
BAHIA DE LOS ANGELES,BAJA CALIFORNIA,SAN QUINTIN,02,02006,020060022,781,370,411,-113.55998277777778,28.948094722222223
EJIDO VILLA JESUS MARIA,BAJA CALIFORNIA,SAN QUINTIN,02,02006,020060127,456,217,239,-114.00156166666666,28.280727499999998
ENSENADA,BAJA CALIFORNIA,ENSENADA,02,02001,020010001,330652,167339,163313,-116.59513388888888,31.80894388888889
MEXICALI,BAJA CALIFORNIA,MEXICALI,02,02002,020020001,854186,425977,428209,-115.47557888888889,32.641175833333335
SAN FELIPE,BAJA CALIFORNIA,MEXICALI,02,02002,020020284,17143,8340,8803,-114.83890138888889,31.022920277777775
BAHIA ASUNCION,BAJA CALIFORNIA SUR,MULEGE,03,03002,030020014,1453,739,714,-114.29755805555556,27.140901944444444
BAHIA TORTUGAS,BAJA CALIFORNIA SUR,MULEGE,03,03002,030020015,2367,1181,1186,-114.89567916666667,27.69174388888889
CABO SAN LUCAS,BAJA CALIFORNIA SUR,LOS CABOS,03,03008,030080054,202694,98608,104086,-109.92518611111112,22.897018888888887
CIUDAD CONSTITUCION,BAJA CALIFORNIA SUR,COMONDU,03,03001,030010001,43805,22160,21645,-111.67333944444445,25.034635555555557
GUERRERO NEGRO,BAJA CALIFORNIA SUR,MULEGE,03,03002,030020066,13596,6842,6754,-114.05302111111111,27.971833055555553
LA PAZ,BAJA CALIFORNIA SUR,LA PAZ,03,03003,030030001,250141,126245,123896,-110.30659,24.148744999999998
LORETO,BAJA CALIFORNIA SUR,LORETO,03,03009,030090001,16311,8010,8301,-111.34333333333333,26.012777777777778
PUERTO SAN CARLOS,BAJA CALIFORNIA SUR,COMONDU,03,03001,030010280,5742,2780,2962,-112.10806194444444,24.78974555555556
PUNTA ABREOJOS,BAJA CALIFORNIA SUR,MULEGE,03,03002,030020116,977,472,505,-113.57315666666666,26.717676388888886
SANTA ROSALIA,BAJA CALIFORNIA SUR,MULEGE,03,03002,030020001,14357,6822,7535,-112.26827472222222,27.33686833333333
ATASTA,CAMPECHE,CARMEN,04,04003,040030006,2712,1325,1387,-92.10385027777777,18.61923416666667
CHAMPOTON,CAMPECHE,CHAMPOTON,04,04004,040040001,35799,18291,17508,-90.72389111111112,19.356218611111114
