NOM_LOC,NOM_ENT,NOM_MUN,CVE_LOC,CVE_MUN,CVE_ENT,tot_subsidies,X,Y
ACAPETAHUA,CHIAPAS,ACAPETAHUA,070030001,07003,07,7122636.16,3504067.5913082026,399175.89345549117
ACAPULCO DE JUAREZ,GUERRERO,ACAPULCO DE JUAREZ,120010001,12001,12,35402096,2725479.5288496986,543474.5062555353
ALDAMA,TAMAULIPAS,ALDAMA,280020001,28002,28,7143409.4,2900551.0023654345,1215866.9286401726
ALVARADO,VERACRUZ DE IGNACIO DE LA LLAVE,ALVARADO,300110001,30011,30,12781902,3155934.3978220876,767630.1048595327
ATASTA,CAMPECHE,CARMEN,040030006,04003,04,1275583.04,3541598.796502818,772189.3207849289
BAHIA ASUNCION,BAJA CALIFORNIA SUR,MULEGE,030020014,03002,03,283148,1286664.0648395573,1727789.962542945
BAHIA DE KINO,SONORA,HERMOSILLO,260300137,26030,26,6072877.14,1531783.168198981,1895543.2220296052
BAHIA DE LOS ANGELES,BAJA CALIFORNIA,SAN QUINTIN,020060022,02006,02,6978771.26,1375361.8350847545,1920898.1301383188
BAHIA DE SANTA CRUZ HUATULCO,OAXACA,SANTA MARIA HUATULCO,204130021,20413,20,13254298.77,3130870.8054008903,431864.30894274794
BAHIA TORTUGAS,BAJA CALIFORNIA SUR,MULEGE,030020015,03002,03,14797771.64,1233269.627836846,1793572.8983310307
BARRA DE NAVIDAD,JALISCO,CIHUATLAN,140220006,14022,14,73565353.95,2218871.475746718,803897.6687328211
CABO SAN LUCAS,BAJA CALIFORNIA SUR,LOS CABOS,030080054,03008,03,8486009.18,1691665.133197348,1230268.4223939315
CATAZAJA,CHIAPAS,CATAZAJA,070160001,07016,07,1384474.68,3557642.8957131463,674569.4738524733
CATEMACO,VERACRUZ DE IGNACIO DE LA LLAVE,CATEMACO,300320001,30032,30,41302756.44,3226275.643544536,732176.5441930032
CD. CUAUHTEMOC,VERACRUZ DE IGNACIO DE LA LLAVE,PUEBLO VIEJO,301330001,30133,30,7466595,2927078.43307813,1135547.4255717462
CELESTUN,YUCATAN,CELESTUN,310110001,31011,31,28240102.7,3700649.4956500586,1032089.6911134865
CHAMPOTON,CAMPECHE,CHAMPOTON,040040001,04004,04,7892919.92,3680170.1588815562,864044.8818001444
CHETUMAL,QUINTANA ROO,OTHON P. BLANCO,230040001,23004,23,7075690,3942457.9037595266,791346.8621167141
CIUDAD CONSTITUCION,BAJA CALIFORNIA SUR,COMONDU,030010001,03001,03,65542451.74,1529478.0935219906,1476158.790463527
CIUDAD DEL CARMEN,CAMPECHE,CARMEN,040030001,04003,04,15207736.54,3569551.7942108805,776202.4535916715
CIUDAD OBREGON,SONORA,CAJEME,260180001,26018,26,25229104.669999998,1718930.99448347,1736618.4699256918
CIUDAD VICTORIA,TAMAULIPAS,VICTORIA,280410001,28041,28,3698279.82,2788864.3936645472,1302664.1565160088
COAHUAYANA DE HIDALGO,MICHOACAN DE OCAMPO,COAHUAYANA,160140001,16014,16,8090610,2324943.176621717,746450.3803679094
COATZACOALCOS,VERACRUZ DE IGNACIO DE LA LLAVE,COATZACOALCOS,300390001,30039,30,13410877,3297405.80895353,704024.1003686261
COLIMA,COLIMA,COLIMA,060020001,06002,06,816180,2318800.354165461,806211.3798770835
COZUMEL,QUINTANA ROO,COZUMEL,230010001,23001,23,1742975,4059837.178119378,1026100.3426738802
CRUZ DE HUANACAXTLE,NAYARIT,BAHIA DE BANDERAS,180200027,18020,18,8685857.13,2149258.9766755775,975531.5395505779
CULIACAN ROSALES,SINALOA,CULIACAN,250060001,25006,25,78523456.69,1957628.2417084756,1428730.427862923
DZILAM DE BRAVO,YUCATAN,DZILAM DE BRAVO,310280001,31028,31,7609487.52,3850911.123202322,1104042.0343604027
EJIDO VILLA JESUS MARIA,BAJA CALIFORNIA,SAN QUINTIN,020060127,02006,02,41420.89,1326327.4794862324,1850832.915543317
EL ROSARIO,SINALOA,ROSARIO,250140001,25014,25,1123020.6,2107058.3691309365,1223546.3081577076
