CVE_LOC,CVE_MUN,CVE_ENT,NOM_LOC,NOM_MUN,NOM_ENT,rnpa,tot_subsidies,POBTOT,POBFEM,POBMAS,deci_lon,deci_lat
010010001,01001,01,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,NA,90000,863893,444725,419168,-102.29604666666667,21.87982277777778
010030001,01003,01,CALVILLO,CALVILLO,AGUASCALIENTES,NA,493680,21049,10874,10175,-102.71875055555556,21.84690722222222
010030056,01003,01,ARROYO OJOCALIENTILLO,CALVILLO,AGUASCALIENTES,NA,1167475,277,134,143,-102.7110888888889,21.83742361111111
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,201277210,360218,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,2019792,224222,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203000252,351650,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203000278,10963465.87,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203000302,3361494,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203000312,227575,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203000427,310128,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203000922,1038060,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,20300139,282628,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203002183,450000,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203002472,227575,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203002696,259366,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203002811,230281.6,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203003058,379306,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203003678,7311980,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203003769,2517233.3,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203004387,102600,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203004411,1249015,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203004478,2268876.58,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203004585,136397,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203004726,1512826,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203004775,117600,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203004783,1892660,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203005814,370015.35,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203006168,126870,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203006382,400000,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203007000,7863748.6899999995,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203007125,2000,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203007208,34000,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203007430,270736,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203007471,999675.6,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203007760,723089,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203008016,333000,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203008032,459846,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203008107,360218,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203008149,1848899.35,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203008305,4367033.4,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203008586,154174,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203008610,575988,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203008875,925350,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203008941,241200,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203008990,702788,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203009063,167049,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203009147,281500,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203009170,3220690,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203009261,286182,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203009314,227575,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203009527,1761887,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203009949,418908,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203009956,361569,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203010095,98900,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203010285,447036,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203010384,1134870,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203010400,280000,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203010657,463940,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203010673,117600,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203010715,135360,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203010749,139927.06,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203011166,156000,330652,167339,163313,-116.59513388888888,31.80894388888889
